Pais,PaisIngles
Afganistán,Afghanistan
Albania,Albania
Alemania,Germany
Andorra,Andorra
Angola,Angola
Anguila,Eel
Antigua y Barbuda,Antigua and Barbuda
Arabia Saudí,Saudi Arabia
Argelia,Algeria
Argentina,Argentina
Armenia,Armenia
Artículo 1,Article 1
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaiyán,Azerbaijan
Bahamas,Bahamas
Bangladés,Bangladesh
Barbados,Barbados
Baréin,Bahrain
Bélgica,Belgium
Belice,Belize
Benín,Benin
Bermudas,Bermuda
Bielorrusia,Belarus
Birmania,Myanmar
Bolivia,Bolivia
Bosnia y Herzegovina,Bosnia and Herzegovina
Botsuana,Botswana
Brasil,Brazil
Brunei,BN
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Bután,Bhutan
Cabo Verde,Cape Verde
Camboya,Cambodia
Camerún,Cameroon
Canadá,Canada
Catar,Qatar
Chad,Chad
Chile,Chile
China,China
Chipre,Cyprus
Ciudad del Vaticano,VATICAN City
Colombia,Colombia
Comoras,Comoros
Corea del Norte,North Korea
Corea del Sur,South Korea
Costa de Marfil,Ivory Coast
Costa Rica,Costa Rica
Croacia,Croatia
Cuba,Cuba
Curaçao,Curaçao
Dinamarca,Denmark
Dominica,Dominica
Ecuador,Ecuador
Egipto,Egypt
El Salvador,El Salvador
Emiratos Árabes Unidos,United Arab Emirates
Eritrea,Eritrea
Eslovaquia,Slovakia
Eslovenia,Slovenia
España,Spain
Estados Unidos,United States
Estonia,Estonia
Etiopía,Ethiopia
Filipinas,Philippines
Finlandia,Finland
Fiyi,Fiji
Francia,France
Franja de Gaza,Gaza Strip
Gabón,Gabon
Gambia,Gambia
Georgia,Georgia
Georgia del Sur e Islas Sandwich del Sur,South Georgia and South Sandwich Islands
Ghana,Ghana
Gibraltar,Gibraltar
Granada,Granada
Grecia,Greece
Groenlandia,Greenland
Guadalupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guayana Francesa,French Guiana
Guinea,Guinea
Guinea Ecuatorial,Equatorial Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haití,Haiti
Honduras,Honduras
Hong Kong,Hong Kong
Hungría,New Zealand
India,India
Indonesia,Indonesia
Irak,Iraq
Irán,Iran
Irlanda,Ireland
Isla de Man,Isle of Man
Isla de Navidad,Christmas Island
Isla Norfolk,Norfolk Island
Islandia,Iceland
Islas Caimán,Cayman Islands
Islas Cook,Cook Islands
Islas Feroe,Faroe Islands
Islas Malvinas (Islas Falkland),Falkland Islands (Islas Malvinas)
Islas Marianas del Norte,Northern Mariana Islands
Islas Marshall,Marshall Islands
Islas Pitcairn,Pitcairn
Islas Turcas y Caicos,Turks and Caicos Islands
Islas Vírgenes Británicas,British Virgin Islands
Islas Vírgenes de EE.UU,U.S. Virgin Islands
Israel,Israel
Italia,Italy
Jamaica,Jamaica
Japón,Japan
Jersey,Jersey
Jordania,Jordan
Kazajistán,Kazakhstan
Kenia,Kenya
Kirguistán,Kyrgyzstan
Kiribati,Kiribati
Kosovo,Kosovo
Kuwait,Kuwait
Laos,Laos
Lesoto,Lesotho
Letonia,Latvia
Líbano,Lebanon
Liberia,Liberia
Libia,Libya
Liechtenstein,Liechtenstein
Lituania,Lithuania
Luxembourg,Luxembourg
Macau,"Macau, Gironde"
Macedonia del Norte,North Macedonia
Madagascar,Madagascar
Malasia,Malaysia
Malawi,Malawi
Maldivas,Maldives
Malí,Mali
Malta,Malta
Marruecos,Morocco
Martinica,Martinique
Mauricio,Mauricio
Mauritania,Mauritania
Mayotte,Mayotte
México,Mexico
Moldavia,Moldova
Mónaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Mozambique,Mozambique
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
Nicaragua,Nicaragua
Níger,Niger
Nigeria,Nigeria
Niue,Niue
Noruega,Norway
Nueva Caledonia,New Caledonia
Nueva Zelanda,New Zealand
Omán,Oman
Pakistán,Islamic Republic of Pakistan
Palaos,Palau
Panamá,Panama
Papúa Nueva Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Polinesia Francesa,French Polynesia
Polonia,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Reino Unido,United Kingdom
República Centroafricana,Central African Republic
República Checa,Czech republic
República del Congo,The Republic of the Congo
República Democrática del Congo,Democratic Republic of Congo
República Dominicana,Dominican Republic
Reunión,Réunion
Ruanda,Rwanda
Rumanía,Romania
Rusia,Russia
Saint Martin,St. Martin
Samoa,Samoa
Samoa Americana,American Samoa
San Bartolomé,San Bartolomé
San Cristóbal y Nieves,Saint Kitts and Nevis
San Marino,San Marino
San Pedro y Miquelón,Saint Pierre And Miquelon
San Vicente y las Granadinas,Saint Vincent And The Grenadines
"Santa Elena, Ascensión y Tristán de Acuña",Saint Helena Ascension and Tristan da Cunha
Santa Lucía,Santa Lucía
Santo Tomé y Príncipe,SâoTome and Principe
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leona,Sierra Leone
Singapur,Singapore
Sint Maarten,Sint Maarten
Siria,Syria
Solomon Islands,Solomon Islands
Somalia,Somalia
Sri Lanka,Sri Lanka
Suazilandia,Swaziland
Sudáfrica,South Africa
Sudán,Sudan
Sudán del Sur,Southern Sudan
Suecia,Sweden
Suiza,Switzerland
Surinam,Suriname
Svalbard,Svalbard
Tailandia,Thailand
Taiwán,Taiwan
Tanzania,Tanzania
Tayikistán,Tajikistan
Timor Oriental,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad y Tobago,Trinidad and Tobago
Túnez,Tunisia
Turkmenistán,Turkmenistan
Turquía,Turkey
Tuvalu,Tuvalu
Ucrania,Ukraine
Uganda,Uganda
Uruguay,Uruguay
Uzbekistán,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Vietnam,Vietnam
Wallis y Futuna,Wallis And Futuna
West Bankworld. kgm,West Bank
Yemen,Yemen
Yibuti,Djibouti
Zambia,Zambia
Zimbabue,Zimbabwe
